index,datum from survey,type of value,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,The BSDS program was satisfying overall.,natural number between 1 and 10,7,6,4,7,5,6,6,6,4,9,10,4,5,6,7,4,6,5,3,5,6,6,4,5,6,6,5,5,7,7,5,1,3,3,5,6,6,4,4,5,5,4,9,6,3,5,5,5,4,4,2,5,5,4,7,5,5,6,5,5,3,7,3,7,6,4,6,5,7,4,5,4,4,5,7,6,5,5,3,4,4,5,7,5,5,5,5,5,6,4,7,4,3,5,5,5,5,6,4,4
2,The BSDS program encouraged networking.,natural number between 1 and 10,4,8,4,6,7,3,8,4,4,5,5,7,10,2,4,4,9,1,4,6,7,4,8,3,4,1,7,3,4,8,3,8,7,5,5,3,5,3,9,5,7,3,8,7,6,6,5,7,7,6,6,5,1,4,3,2,6,9,1,3,5,6,4,6,8,5,6,1,1,3,5,5,5,4,6,5,5,5,4,4,9,7,4,5,4,5,5,3,6,5,4,7,3,3,7,3,6,9,7,4
3,The BSDS program provided advising.,natural number between 1 and 10,9,2,8,3,9,7,1,8,5,6,7,7,10,10,1,8,1,10,10,3,5,9,5,4,6,10,1,3,4,10,10,2,5,9,9,6,6,10,5,1,6,7,5,1,7,2,6,4,10,1,1,6,6,5,7,7,9,6,10,2,10,6,1,1,4,8,9,2,3,10,1,3,8,3,7,5,4,2,4,10,3,7,7,10,10,1,8,9,10,1,6,4,7,4,5,1,9,5,5,5
4,The BSDS program provided career services.,natural number between 1 and 10,9,8,2,4,9,8,1,1,1,1,10,8,10,5,9,8,1,10,4,7,4,1,7,10,1,7,10,1,2,6,4,3,1,6,2,1,1,10,3,8,4,1,3,4,6,6,1,10,10,6,7,3,1,6,4,10,10,3,6,9,8,7,10,10,7,10,9,3,10,3,6,9,3,9,7,1,1,1,5,4,10,5,3,7,6,4,6,5,4,4,8,3,1,5,5,3,10,9,5,3
5,The BSDS program provided counseling.,natural number between 1 and 10,4,2,7,1,1,3,6,6,5,6,4,5,4,2,4,2,5,1,4,8,9,6,7,2,2,5,9,8,1,4,6,7,3,4,5,1,4,5,3,8,5,1,2,1,3,1,4,3,5,7,7,8,4,3,2,2,5,1,3,1,4,1,1,4,1,4,3,4,1,7,1,8,3,7,6,3,6,3,3,6,1,2,5,6,4,2,5,3,9,4,1,3,2,1,1,3,2,5,5,3
6,The BSDS program had diverse faculty.,natural number between 1 and 10,7,7,10,7,10,10,8,8,8,8,8,5,8,9,7,6,7,8,5,7,9,8,8,10,8,8,10,7,8,4,8,7,7,10,8,8,7,7,10,8,10,6,5,7,9,8,5,7,9,9,6,10,9,6,10,7,7,9,7,10,9,8,9,7,7,5,8,10,6,4,9,8,8,7,4,6,4,9,8,7,6,7,5,7,10,8,10,4,7,6,6,7,7,6,7,6,8,9,10,8
7,The BSDS program had diverse staff.,natural number between 1 and 10,8,7,7,7,6,7,7,7,6,7,6,7,7,6,7,7,6,6,7,7,6,7,7,6,6,7,7,7,7,6,8,7,6,6,7,7,7,6,6,7,6,7,7,7,7,6,7,7,6,6,7,7,6,7,7,7,7,7,6,7,8,6,7,7,6,7,7,6,8,7,7,6,6,6,6,7,7,6,7,6,7,7,6,7,7,6,7,7,7,7,8,8,7,6,7,7,7,8,7,6
8,The BSDS program had diverse students.,natural number between 1 and 10,3,4,6,1,2,3,5,6,4,3,3,4,3,5,6,6,2,4,4,1,4,3,3,6,1,4,4,1,4,4,5,1,4,3,4,4,4,4,4,4,1,8,5,6,4,5,1,6,6,2,3,4,4,4,5,4,4,4,6,5,3,5,3,3,5,5,4,5,6,4,4,6,2,3,5,3,4,2,4,1,2,4,5,4,6,4,3,6,5,5,6,3,5,3,4,2,4,5,4,4
9,The BSDS program acted on feedback.,natural number between 1 and 10,6,9,6,3,7,4,8,8,5,6,9,9,7,6,3,8,5,8,8,6,7,9,6,6,7,6,7,8,4,7,5,6,7,6,4,9,8,6,8,6,5,7,4,8,5,4,1,6,7,9,3,8,6,6,7,6,3,8,8,8,7,6,4,7,7,6,7,6,6,4,6,9,5,8,8,4,8,7,6,10,8,5,8,5,5,7,9,4,6,9,5,7,6,9,7,6,5,10,6,6
10,The BSDS program engaged students.,natural number between 1 and 10,7,4,3,5,6,1,4,2,3,7,7,5,1,5,3,6,3,2,5,7,6,7,7,8,5,3,2,7,4,2,5,1,2,5,6,3,4,6,6,1,7,3,3,3,1,9,1,1,4,1,4,8,5,5,4,2,4,6,7,4,6,3,3,1,6,3,1,5,7,3,1,3,5,5,6,4,4,6,1,2,3,3,1,6,2,1,6,5,4,5,4,7,3,8,6,3,3,4,2,4
